Country,count
Georgia  USA,2135
London  UK,1559
Washington  USA,1114
New York  USA,908
India,903
Nigeria,893
USA,649
Texas  USA,586
Brazil,552
France,524
California  USA,512
Chicago  USA,397
United States,392
Lasvegas  USA,364
Indonesia,316
Venezuela,286
Canada,213
Australia,129
Jakarta,129
